count,day,month,year
3687,19,5,2023
5662,23,5,2023
9020,1,6,2023
6889,5,7,2023
5889,18,7,2023
4143,4,8,2023
4763,18,8,2023
6085,22,8,2023
5540,4,9,2023
5799,18,9,2023
4452,4,10,2023
3855,3,11,2023
4687,21,11,2023
5776,7,12,2023
3642,19,1,2024
4817,19,2,2024
6750,1,3,2024
5433,5,3,2024
4563,19,3,2024
5174,23,3,2024
6442,21,1,2018
6430,7,3,2018
8777,21,3,2018
5549,7,4,2018
6953,8,1,2018
6105,7,2,2018
5307,21,2,2018
6523,25,2,2018
5750,11,4,2018
5239,11,10,2021
5604,2,5,2018
4136,11,5,2018
8356,20,5,2018
5816,29,5,2018
9645,6,6,2018
14450,1,8,2018
5547,10,8,2018
7157,19,8,2018
8682,28,8,2018
7745,5,9,2018
4656,14,9,2018
3378,5,10,2018
6456,18,11,2018
5754,27,11,2018
5669,13,12,2018
5974,22,12,2018
5525,9,2,2019
5080,18,2,2019
5127,27,2,2019
5509,4,3,2019
6439,13,3,2019
7889,4,4,2019
5118,13,4,2019
4608,17,5,2019
5717,26,5,2019
7250,12,6,2019
4476,21,6,2019
5860,30,6,2019
6779,3,7,2019
4933,12,7,2019
6952,21,7,2019
6568,7,8,2019
5312,16,8,2019
9418,29,9,2019
3465,11,10,2019
8524,20,10,2019
5765,29,10,2019
6280,6,11,2019
5455,15,11,2019
5746,24,11,2019
5348,4,1,2020
5461,13,1,2020
5791,22,1,2020
4837,4,2,2020
5495,8,3,2020
5857,17,3,2020
5897,26,3,2020
5651,12,4,2020
5778,21,4,2020
5085,30,4,2020
5360,3,5,2020
5932,12,5,2020
6652,21,5,2020
5606,7,6,2020
6929,16,6,2020
7796,25,6,2020
6690,29,7,2020
5979,11,8,2020
9240,20,8,2020
5508,9,5,2018
6143,26,5,2018
4583,8,6,2018
8211,25,6,2018
6282,30,6,2018
13740,1,7,2018
7510,18,7,2018
6388,29,7,2018
6631,11,8,2018
4766,22,8,2018
6476,4,9,2018
9156,15,9,2018
4781,8,10,2018
5790,14,10,2018
8417,25,10,2018
6307,7,11,2018
3256,28,12,2018
6133,9,1,2019
5431,26,1,2019
7927,2,2,2019
5274,19,2,2019
8206,1,3,2019
6085,12,3,2019
5823,23,3,2019
5687,22,4,2019
9021,15,5,2019
6990,8,6,2019
7236,25,6,2019
12462,1,7,2019
6917,18,7,2019
5900,29,7,2019
7419,22,8,2019
7021,28,8,2019
6288,21,9,2019
5896,14,10,2019
6619,7,11,2019
4356,6,12,2019
4147,28,12,2019
32678,1,1,2020
6018,12,1,2020
5771,23,1,2020
7220,22,2,2020
7635,15,3,2020
5437,8,4,2020
9247,1,5,2020
4393,29,5,2020
6441,11,6,2020
6343,22,6,2020
5820,28,6,2020
6118,4,7,2020
6141,21,7,2020
4671,14,8,2020
5592,7,9,2020
5741,6,10,2020
5918,28,10,2020
5952,10,11,2020
4129,27,11,2020
6196,3,12,2020
7593,20,12,2020
2067,31,12,2020
5821,5,1,2021
5352,11,1,2021
4977,4,2,2021
5818,15,2,2021
5383,8,3,2021
6242,25,3,2021
10077,1,4,2021
5306,18,4,2021
5597,11,5,2021
7798,10,6,2021
6208,21,6,2021
6295,3,7,2021
7234,14,7,2021
4851,31,7,2021
6033,7,8,2021
6319,24,8,2021
4670,17,9,2021
6787,28,9,2021
8695,10,10,2021
6296,16,10,2021
7103,21,10,2021
5288,9,11,2021
7130,20,11,2021
6414,2,12,2021
5246,13,12,2021
3409,30,12,2021
27505,1,1,2022
3687,7,1,2022
5004,29,1,2022
3524,11,2,2022
4719,28,2,2022
3700,4,3,2022
7200,21,3,2022
7109,14,4,2022
5802,25,4,2022
5672,7,5,2022
5730,18,5,2022
5628,11,6,2022
4207,17,6,2022
5831,28,6,2022
5086,10,7,2022
7756,27,7,2022
6338,3,8,2022
7705,20,8,2022
4429,31,8,2022
5880,13,9,2022
6015,24,9,2022
6101,6,10,2022
5686,17,10,2022
5974,16,11,2022
3911,9,12,2022
4542,26,12,2022
5165,4,1,2023
5919,21,1,2023
6344,14,2,2023
5857,25,2,2023
5295,7,3,2023
5314,18,3,2023
4924,11,4,2023
5155,17,4,2023
3917,28,4,2023
6836,10,5,2023
5154,27,5,2023
5288,3,6,2023
6897,20,6,2023
6491,13,7,2023
5804,24,7,2023
5965,6,8,2023
6421,17,8,2023
5894,16,9,2023
4415,9,10,2023
5800,2,11,2023
5028,30,11,2023
5236,23,12,2023
4790,7,1,2024
6073,18,1,2024
